,Found as,Full name,InDefinitiveList,Start_species,End_species,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_location,End_location,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
61,Geomonhystera antarcticola,Geomonhystera antarcticola,True,1219,1221,7001,"Species from a fourth genus, Geomonhystera antarcticola, as well as another species of Plectus, P. frigophilus, are present but rare in the region**.",True,Central Park,Central Park,7809,7811,Biogeographic patterns in below-ground diversity in New York City’s Central Park are similar to those observed globally.,False,False,False,False,False,False,True,True,,,,,,,False,,,,,,,False,False,False,True
62,Geomonhystera antarcticola,Geomonhystera antarcticola,True,1219,1221,7001,"Species from a fourth genus, Geomonhystera antarcticola, as well as another species of Plectus, P. frigophilus, are present but rare in the region**.",True,Transantarctic Mountains,the Transantarctic Mountains,8116,8118,"Sokol, E. R., Herbold, C. W., Lee, C. K., Cary, S. C. & Barrett, J. Local and regional influences over soil microbial metacommunities in the Transantarctic Mountains.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
63,Geomonhystera antarcticola,Geomonhystera antarcticola,True,1219,1221,7001,"Species from a fourth genus, Geomonhystera antarcticola, as well as another species of Plectus, P. frigophilus, are present but rare in the region**.",True,Antarctica,Antarctica,8495,8496,"Bergstrom, D. M., Convey, P. & Huiskes, A. H. L. Trends in Antarctic Terrestrial and Limnetic Ecosystems: Antarctica as a Global Indicator.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
64,Geomonhystera antarcticola,Geomonhystera antarcticola,True,1219,1221,7001,"Species from a fourth genus, Geomonhystera antarcticola, as well as another species of Plectus, P. frigophilus, are present but rare in the region**.",True,McMurdo Sound,McMurdo Sound,8556,8558,"Timm, R. Antarctic soil and freshwater nematodes from the McMurdo Sound region.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
65,Geomonhystera antarcticola,Geomonhystera antarcticola,True,1219,1221,7001,"Species from a fourth genus, Geomonhystera antarcticola, as well as another species of Plectus, P. frigophilus, are present but rare in the region**.",True,Antarctica,Antarctica,8614,8615,"Andrassy, I. Eudorylaimus species (Nematoda: Dorylaimida) of continental Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
66,Geomonhystera antarcticola,Geomonhystera antarcticola,True,1219,1221,7001,"Species from a fourth genus, Geomonhystera antarcticola, as well as another species of Plectus, P. frigophilus, are present but rare in the region**.",True,Antarctica,Antarctica,8660,8661,"Bostrom, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
67,Geomonhystera antarcticola,Geomonhystera antarcticola,True,1219,1221,7001,"Species from a fourth genus, Geomonhystera antarcticola, as well as another species of Plectus, P. frigophilus, are present but rare in the region**.",True,Antarctica,Antarctica,8712,8713,"Adams, B. J., Wall, D. H., Virginia, R. A., Broos, E. & Knox, M. A. Ecological biogeography of the terrestrial nematodes of Victoria Land, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
68,Geomonhystera antarcticola,Geomonhystera antarcticola,True,1219,1221,7001,"Species from a fourth genus, Geomonhystera antarcticola, as well as another species of Plectus, P. frigophilus, are present but rare in the region**.",True,McMurdo Dry Valleys,the McMurdo Dry Valleys,8747,8750,"Courtright, E. M., Wall, D. H. & Virginia, R. A. Determining habitat suitability for soil invertebrates in an extreme environment: the McMurdo Dry Valleys, Antarctica.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
69,Geomonhystera antarcticola,Geomonhystera antarcticola,True,1219,1221,7001,"Species from a fourth genus, Geomonhystera antarcticola, as well as another species of Plectus, P. frigophilus, are present but rare in the region**.",True,Antarctica,Antarctica,8751,8752,"Courtright, E. M., Wall, D. H. & Virginia, R. A. Determining habitat suitability for soil invertebrates in an extreme environment: the McMurdo Dry Valleys, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
70,Geomonhystera antarcticola,Geomonhystera antarcticola,True,1219,1221,7001,"Species from a fourth genus, Geomonhystera antarcticola, as well as another species of Plectus, P. frigophilus, are present but rare in the region**.",True,Antarctic Dry Valley,Antarctic Dry Valley,8825,8828,"Overhoff, A., Freckman, D. W. & Virginia, R. A. Life cycle of the microbivorous Antarctic Dry Valley nematode",False,False,False,False,False,False,False,False,,,,,,,False,Dry Valley,Dry Valley,,,,,True,True,True,True
71,Geomonhystera antarcticola,Geomonhystera antarcticola,True,1219,1221,7001,"Species from a fourth genus, Geomonhystera antarcticola, as well as another species of Plectus, P. frigophilus, are present but rare in the region**.",True,Taylor Valley,Taylor Valley,8973,8975,"Stable C and N isotope ratios reveal soil food web structure and identify the nematode Eudorylaimus antarcticus as an omnivore-predator in Taylor Valley, Antarctica.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
72,Geomonhystera antarcticola,Geomonhystera antarcticola,True,1219,1221,7001,"Species from a fourth genus, Geomonhystera antarcticola, as well as another species of Plectus, P. frigophilus, are present but rare in the region**.",True,Antarctica,Antarctica,8976,8977,"Stable C and N isotope ratios reveal soil food web structure and identify the nematode Eudorylaimus antarcticus as an omnivore-predator in Taylor Valley, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
73,Geomonhystera antarcticola,Geomonhystera antarcticola,True,1219,1221,7001,"Species from a fourth genus, Geomonhystera antarcticola, as well as another species of Plectus, P. frigophilus, are present but rare in the region**.",True,Antarctic Dry Valley,Antarctic Dry Valley,9284,9287,"Treonis, A. M., Wall, D. H. & Virginia, R. A. Invertebrate biodiversity in Antarctic Dry Valley soils and sediments.",False,False,False,False,False,False,False,False,,,,,,,False,Dry Valley,Dry Valley,,,,,True,True,True,True
74,Geomonhystera antarcticola,Geomonhystera antarcticola,True,1219,1221,7001,"Species from a fourth genus, Geomonhystera antarcticola, as well as another species of Plectus, P. frigophilus, are present but rare in the region**.",True,Antarctica,Antarctica,9334,9335,"Yeates, G. W., Scott, M. B., Chown, S. L. & Sinclair, B. J. Changes in soil nematode populations indicate an annual life cycle at Cape Hallett, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
75,Geomonhystera antarcticola,Geomonhystera antarcticola,True,1219,1221,7001,"Species from a fourth genus, Geomonhystera antarcticola, as well as another species of Plectus, P. frigophilus, are present but rare in the region**.",True,Arctic,Arctic,9417,9418,The future of soil invertebrate communities in polar regions: different climate change responses in the Arctic and Antarctic?,False,False,False,False,False,False,True,True,,,,,,,False,,,,,,,False,False,False,True
76,Geomonhystera antarcticola,Geomonhystera antarcticola,True,1219,1221,7001,"Species from a fourth genus, Geomonhystera antarcticola, as well as another species of Plectus, P. frigophilus, are present but rare in the region**.",True,Dry Valley,Dry Valley,9515,9517,The inter-valley soil comparative survey: the ecology of Dry Valley edaphic microbial communities.,True,True,False,False,False,False,True,True,,,,,,,,,,,,,,,True,True,True
77,Geomonhystera antarcticola,Geomonhystera antarcticola,True,1219,1221,7001,"Species from a fourth genus, Geomonhystera antarcticola, as well as another species of Plectus, P. frigophilus, are present but rare in the region**.",True,McMurdo Dry Valleys of Antarctica,the McMurdo Dry Valleys of Antarctica,9602,9607,"Bamforth, S. S., Wall, D. H. & Virginia, R. A. Distribution and diversity of soil protozoa in the McMurdo Dry Valleys of Antarctica.",False,False,False,False,False,False,False,False,,,,,,,False,McMurdo Dry Valleys,McMurdo Dry Valleys,McMurdo Dry Valleys,McMurdo Dry Valleys,,McMurdo Dry Valleys,True,True,True,True
78,Scottnema lindsayae,Scottnema lindsayae,True,8646,8648,45817,"Bostrom, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",True,McMurdo Dry Valleys (Antarctica,the McMurdo Dry Valleys (Antarctica,134,139,We modelled co-occurrence and distribution of the three nematode species that dominate the soil food web of the McMurdo Dry Valleys (Antarctica).,False,False,False,False,False,False,False,False,,,,,,,False,McMurdo Dry Valleys,McMurdo Dry Valleys,McMurdo Dry Valleys,McMurdo Dry Valleys,,McMurdo Dry Valleys,True,True,True,True
79,Scottnema lindsayae,Scottnema lindsayae,True,8646,8648,45817,"Bostrom, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",True,McMurdo Dry Valleys,the McMurdo Dry Valleys,954,957,"To address this challenge in the present study, we targeted the soil ecosystem of the McMurdo Dry Valleys (MDVs) of Antarctica.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
80,Scottnema lindsayae,Scottnema lindsayae,True,8646,8648,45817,"Bostrom, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",True,Antarctica,Antarctica,961,962,"To address this challenge in the present study, we targeted the soil ecosystem of the McMurdo Dry Valleys (MDVs) of Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
81,Scottnema lindsayae,Scottnema lindsayae,True,8646,8648,45817,"Bostrom, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",True,Earth,Earth,984,985,"These valleys represent the largest ice-free area of the Antarctic continent, host the driest and coldest soils on Earth and are part of the US National Science Foundation",False,False,False,False,False,False,True,True,,,,,,,False,,,,,,,False,False,False,True
82,Scottnema lindsayae,Scottnema lindsayae,True,8646,8648,45817,"Bostrom, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",True,Earth,Earth,1054,1055,"Species richness is indeed possibly the lowest on Earth and the harsh environmental conditions make it possible to identify the most important environmental determinants of species distribution (e.g., water availability)°°°.",False,False,False,False,False,False,True,True,,,,,,,False,,,,,,,False,False,False,True
83,Scottnema lindsayae,Scottnema lindsayae,True,8646,8648,45817,"Bostrom, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",True,McMurdo Dry Valleys,the McMurdo Dry Valleys,4680,4683,"4 Map of the 220 km2 study area, in the McMurdo Dry Valleys.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
84,Scottnema lindsayae,Scottnema lindsayae,True,8646,8648,45817,"Bostrom, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",True,Antarctica°®,Antarctica°®,4981,4984,"At the same time, climatic changes are happening at increasing rates in some areas of Antarctica°®.",False,False,False,False,False,False,False,False,,,,Antarctica,,Antarctica,True,,,,,,,False,False,True,True
85,Scottnema lindsayae,Scottnema lindsayae,True,8646,8648,45817,"Bostrom, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",True,Dry Valleys,the Dry Valleys,5196,5198,"ictar.aq), which was initiated during the International Polar Year 2007-2008, and drew a diverse range of international expertise to profile the biology, geochemistry, geology, and climate of the Dry Valleys (Fig. 4).",False,False,False,False,False,False,False,False,Dry Valley,Dry Valley,,,,,True,,,,,,,False,True,True,True
86,Scottnema lindsayae,Scottnema lindsayae,True,8646,8648,45817,"Bostrom, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",True,Dry Valley,Dry Valley,5226,5228,The study is among the most comprehensive landscape-scale biodiversity surveys undertaken and includes nearly all trophic components found in the Dry Valley ecosystem.,True,True,False,False,False,False,True,True,,,,,,,,,,,,,,,True,True,True
87,Scottnema lindsayae,Scottnema lindsayae,True,8646,8648,45817,"Bostrom, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",True,Central Park,Central Park,7809,7811,Biogeographic patterns in below-ground diversity in New York City’s Central Park are similar to those observed globally.,False,False,False,False,False,False,True,True,,,,,,,False,,,,,,,False,False,False,True
88,Scottnema lindsayae,Scottnema lindsayae,True,8646,8648,45817,"Bostrom, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",True,Transantarctic Mountains,the Transantarctic Mountains,8116,8118,"Sokol, E. R., Herbold, C. W., Lee, C. K., Cary, S. C. & Barrett, J. Local and regional influences over soil microbial metacommunities in the Transantarctic Mountains.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
89,Scottnema lindsayae,Scottnema lindsayae,True,8646,8648,45817,"Bostrom, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",True,Antarctica,Antarctica,8495,8496,"Bergstrom, D. M., Convey, P. & Huiskes, A. H. L. Trends in Antarctic Terrestrial and Limnetic Ecosystems: Antarctica as a Global Indicator.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
90,Scottnema lindsayae,Scottnema lindsayae,True,8646,8648,45817,"Bostrom, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",True,McMurdo Sound,McMurdo Sound,8556,8558,"Timm, R. Antarctic soil and freshwater nematodes from the McMurdo Sound region.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
91,Scottnema lindsayae,Scottnema lindsayae,True,8646,8648,45817,"Bostrom, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",True,Antarctica,Antarctica,8614,8615,"Andrassy, I. Eudorylaimus species (Nematoda: Dorylaimida) of continental Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
92,Scottnema lindsayae,Scottnema lindsayae,True,8646,8648,45817,"Bostrom, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",True,Antarctica,Antarctica,8660,8661,"Bostrom, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
93,Scottnema lindsayae,Scottnema lindsayae,True,8646,8648,45817,"Bostrom, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",True,Antarctica,Antarctica,8712,8713,"Adams, B. J., Wall, D. H., Virginia, R. A., Broos, E. & Knox, M. A. Ecological biogeography of the terrestrial nematodes of Victoria Land, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
94,Scottnema lindsayae,Scottnema lindsayae,True,8646,8648,45817,"Bostrom, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",True,McMurdo Dry Valleys,the McMurdo Dry Valleys,8747,8750,"Courtright, E. M., Wall, D. H. & Virginia, R. A. Determining habitat suitability for soil invertebrates in an extreme environment: the McMurdo Dry Valleys, Antarctica.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
95,Scottnema lindsayae,Scottnema lindsayae,True,8646,8648,45817,"Bostrom, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",True,Antarctica,Antarctica,8751,8752,"Courtright, E. M., Wall, D. H. & Virginia, R. A. Determining habitat suitability for soil invertebrates in an extreme environment: the McMurdo Dry Valleys, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
96,Scottnema lindsayae,Scottnema lindsayae,True,8646,8648,45817,"Bostrom, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",True,Antarctic Dry Valley,Antarctic Dry Valley,8825,8828,"Overhoff, A., Freckman, D. W. & Virginia, R. A. Life cycle of the microbivorous Antarctic Dry Valley nematode",False,False,False,False,False,False,False,False,,,,,,,False,Dry Valley,Dry Valley,,,,,True,True,True,True
97,Scottnema lindsayae,Scottnema lindsayae,True,8646,8648,45817,"Bostrom, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",True,Taylor Valley,Taylor Valley,8973,8975,"Stable C and N isotope ratios reveal soil food web structure and identify the nematode Eudorylaimus antarcticus as an omnivore-predator in Taylor Valley, Antarctica.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
98,Scottnema lindsayae,Scottnema lindsayae,True,8646,8648,45817,"Bostrom, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",True,Antarctica,Antarctica,8976,8977,"Stable C and N isotope ratios reveal soil food web structure and identify the nematode Eudorylaimus antarcticus as an omnivore-predator in Taylor Valley, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
99,Scottnema lindsayae,Scottnema lindsayae,True,8646,8648,45817,"Bostrom, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",True,Antarctic Dry Valley,Antarctic Dry Valley,9284,9287,"Treonis, A. M., Wall, D. H. & Virginia, R. A. Invertebrate biodiversity in Antarctic Dry Valley soils and sediments.",False,False,False,False,False,False,False,False,,,,,,,False,Dry Valley,Dry Valley,,,,,True,True,True,True
100,Scottnema lindsayae,Scottnema lindsayae,True,8646,8648,45817,"Bostrom, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",True,Antarctica,Antarctica,9334,9335,"Yeates, G. W., Scott, M. B., Chown, S. L. & Sinclair, B. J. Changes in soil nematode populations indicate an annual life cycle at Cape Hallett, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
101,Scottnema lindsayae,Scottnema lindsayae,True,8646,8648,45817,"Bostrom, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",True,Arctic,Arctic,9417,9418,The future of soil invertebrate communities in polar regions: different climate change responses in the Arctic and Antarctic?,False,False,False,False,False,False,True,True,,,,,,,False,,,,,,,False,False,False,True
102,Scottnema lindsayae,Scottnema lindsayae,True,8646,8648,45817,"Bostrom, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",True,Dry Valley,Dry Valley,9515,9517,The inter-valley soil comparative survey: the ecology of Dry Valley edaphic microbial communities.,True,True,False,False,False,False,True,True,,,,,,,,,,,,,,,True,True,True
103,Scottnema lindsayae,Scottnema lindsayae,True,8646,8648,45817,"Bostrom, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",True,McMurdo Dry Valleys of Antarctica,the McMurdo Dry Valleys of Antarctica,9602,9607,"Bamforth, S. S., Wall, D. H. & Virginia, R. A. Distribution and diversity of soil protozoa in the McMurdo Dry Valleys of Antarctica.",False,False,False,False,False,False,False,False,,,,,,,False,McMurdo Dry Valleys,McMurdo Dry Valleys,McMurdo Dry Valleys,McMurdo Dry Valleys,,McMurdo Dry Valleys,True,True,True,True
104,Scottnema lindsayae,Scottnema lindsayae,True,8829,8831,46694,Scottnema lindsayae (Timm 1971).,True,McMurdo Dry Valleys (Antarctica,the McMurdo Dry Valleys (Antarctica,134,139,We modelled co-occurrence and distribution of the three nematode species that dominate the soil food web of the McMurdo Dry Valleys (Antarctica).,False,False,False,False,False,False,False,False,,,,,,,False,McMurdo Dry Valleys,McMurdo Dry Valleys,McMurdo Dry Valleys,McMurdo Dry Valleys,,McMurdo Dry Valleys,True,True,True,True
105,Scottnema lindsayae,Scottnema lindsayae,True,8829,8831,46694,Scottnema lindsayae (Timm 1971).,True,McMurdo Dry Valleys,the McMurdo Dry Valleys,954,957,"To address this challenge in the present study, we targeted the soil ecosystem of the McMurdo Dry Valleys (MDVs) of Antarctica.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
106,Scottnema lindsayae,Scottnema lindsayae,True,8829,8831,46694,Scottnema lindsayae (Timm 1971).,True,Antarctica,Antarctica,961,962,"To address this challenge in the present study, we targeted the soil ecosystem of the McMurdo Dry Valleys (MDVs) of Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
107,Scottnema lindsayae,Scottnema lindsayae,True,8829,8831,46694,Scottnema lindsayae (Timm 1971).,True,Earth,Earth,984,985,"These valleys represent the largest ice-free area of the Antarctic continent, host the driest and coldest soils on Earth and are part of the US National Science Foundation",False,False,False,False,False,False,True,True,,,,,,,False,,,,,,,False,False,False,True
108,Scottnema lindsayae,Scottnema lindsayae,True,8829,8831,46694,Scottnema lindsayae (Timm 1971).,True,Earth,Earth,1054,1055,"Species richness is indeed possibly the lowest on Earth and the harsh environmental conditions make it possible to identify the most important environmental determinants of species distribution (e.g., water availability)°°°.",False,False,False,False,False,False,True,True,,,,,,,False,,,,,,,False,False,False,True
109,Scottnema lindsayae,Scottnema lindsayae,True,8829,8831,46694,Scottnema lindsayae (Timm 1971).,True,McMurdo Dry Valleys,the McMurdo Dry Valleys,4680,4683,"4 Map of the 220 km2 study area, in the McMurdo Dry Valleys.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
110,Scottnema lindsayae,Scottnema lindsayae,True,8829,8831,46694,Scottnema lindsayae (Timm 1971).,True,Antarctica°®,Antarctica°®,4981,4984,"At the same time, climatic changes are happening at increasing rates in some areas of Antarctica°®.",False,False,False,False,False,False,False,False,,,,Antarctica,,Antarctica,True,,,,,,,False,False,True,True
111,Scottnema lindsayae,Scottnema lindsayae,True,8829,8831,46694,Scottnema lindsayae (Timm 1971).,True,Dry Valleys,the Dry Valleys,5196,5198,"ictar.aq), which was initiated during the International Polar Year 2007-2008, and drew a diverse range of international expertise to profile the biology, geochemistry, geology, and climate of the Dry Valleys (Fig. 4).",False,False,False,False,False,False,False,False,Dry Valley,Dry Valley,,,,,True,,,,,,,False,True,True,True
112,Scottnema lindsayae,Scottnema lindsayae,True,8829,8831,46694,Scottnema lindsayae (Timm 1971).,True,Dry Valley,Dry Valley,5226,5228,The study is among the most comprehensive landscape-scale biodiversity surveys undertaken and includes nearly all trophic components found in the Dry Valley ecosystem.,True,True,False,False,False,False,True,True,,,,,,,,,,,,,,,True,True,True
113,Scottnema lindsayae,Scottnema lindsayae,True,8829,8831,46694,Scottnema lindsayae (Timm 1971).,True,Central Park,Central Park,7809,7811,Biogeographic patterns in below-ground diversity in New York City’s Central Park are similar to those observed globally.,False,False,False,False,False,False,True,True,,,,,,,False,,,,,,,False,False,False,True
114,Scottnema lindsayae,Scottnema lindsayae,True,8829,8831,46694,Scottnema lindsayae (Timm 1971).,True,Transantarctic Mountains,the Transantarctic Mountains,8116,8118,"Sokol, E. R., Herbold, C. W., Lee, C. K., Cary, S. C. & Barrett, J. Local and regional influences over soil microbial metacommunities in the Transantarctic Mountains.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
115,Scottnema lindsayae,Scottnema lindsayae,True,8829,8831,46694,Scottnema lindsayae (Timm 1971).,True,Antarctica,Antarctica,8495,8496,"Bergstrom, D. M., Convey, P. & Huiskes, A. H. L. Trends in Antarctic Terrestrial and Limnetic Ecosystems: Antarctica as a Global Indicator.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
116,Scottnema lindsayae,Scottnema lindsayae,True,8829,8831,46694,Scottnema lindsayae (Timm 1971).,True,McMurdo Sound,McMurdo Sound,8556,8558,"Timm, R. Antarctic soil and freshwater nematodes from the McMurdo Sound region.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
117,Scottnema lindsayae,Scottnema lindsayae,True,8829,8831,46694,Scottnema lindsayae (Timm 1971).,True,Antarctica,Antarctica,8614,8615,"Andrassy, I. Eudorylaimus species (Nematoda: Dorylaimida) of continental Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
118,Scottnema lindsayae,Scottnema lindsayae,True,8829,8831,46694,Scottnema lindsayae (Timm 1971).,True,Antarctica,Antarctica,8660,8661,"Bostrom, S., Holovachov, O. & Nadler, S. A. Description of Scottnema lindsayae Timm, 1971 (Rhabditida: Cephalobidae) from Taylor Valley, Antarctica and its phylogenetic relationship.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
119,Scottnema lindsayae,Scottnema lindsayae,True,8829,8831,46694,Scottnema lindsayae (Timm 1971).,True,Antarctica,Antarctica,8712,8713,"Adams, B. J., Wall, D. H., Virginia, R. A., Broos, E. & Knox, M. A. Ecological biogeography of the terrestrial nematodes of Victoria Land, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
120,Scottnema lindsayae,Scottnema lindsayae,True,8829,8831,46694,Scottnema lindsayae (Timm 1971).,True,McMurdo Dry Valleys,the McMurdo Dry Valleys,8747,8750,"Courtright, E. M., Wall, D. H. & Virginia, R. A. Determining habitat suitability for soil invertebrates in an extreme environment: the McMurdo Dry Valleys, Antarctica.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
121,Scottnema lindsayae,Scottnema lindsayae,True,8829,8831,46694,Scottnema lindsayae (Timm 1971).,True,Antarctica,Antarctica,8751,8752,"Courtright, E. M., Wall, D. H. & Virginia, R. A. Determining habitat suitability for soil invertebrates in an extreme environment: the McMurdo Dry Valleys, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
